,company,location,salary,title
4844,    Red Gate Group,"Arlington, VA","$100,000 - $125,000 a year",Data Scientist - OUSD(I)-HCMO-DCIPS
4846,    U.S. Federal Government,"Woodlawn, MD","$66,510 - $103,639 a year",Social Science Research Analyst
4868,    Department of Commerce,"Washington, DC 20230 (Downtown area)","$112,021 - $145,629 a year","Survey Statistician, GG-1530-14, Census-DOC-PB"
4869,    Department of Commerce,"Washington, DC 20230 (Downtown area)","$112,021 - $145,629 a year","Survey Statistician, GG-1530-14, Census-DE-PB"
4886,    National Aeronautics and Space Administration,"Greenbelt, MD","$94,796 - $145,629 a year","Research Physical Scientist, AST, Atmospheric Chemistry and..."
4898,    Strategic Data Systems,"Bethesda, MD 20817","$130,000 a year",Senior Software Engineer
4899,    Smith Hanley Associates,"Washington, DC","$180,000 a year",Lead Quantitative Analyst
4936,    Smith Hanley Associates,"Washington, DC","$150,000 a year",Sr. Quantitative Analyst
4945,    Department of the Interior,"Reston, VA","$54,972 - $103,639 a year","Physical Scientist, GS-1301-09/11/12 (DEU - EC)"
4950,    The Maryland-National Capital Park and Planning Co...,"Silver Spring, MD 20902","$58,556 - $100,394 a year","Real Estate and Urban Planning Research Analyst (12726, Grad..."
4969,    Strategic Data Systems,"Bethesda, MD 20817","$120,000 a year",Senior Network Engineer
4981,    EMF Industries,"McLean, VA","$213,000 a year","2017-07-10 IT Program Manager Earning $$213,000"
4999,    Qlaire Systems Inc.,"Washington, DC","$150,000 a year",Big Data Cloud Architect
5019,    WSSC,"Laurel, MD 20707","$75,515 - $115,278 a year",Environmental Scientist - Water Resources Management
5022,    U.S. Federal Government,"Arlington, VA","$163,519 - $179,600 a year","Deputy Division Director, Division of Human Resource Managem..."
5057,"    Sirnaomics,Inc","Gaithersburg, MD 20879","$28,000 - $35,000 a year",Research Assistant
5060,    Department of Commerce,"Suitland, MD","$131,767 - $161,900 a year",Supervisory Physical Scientist ZP-1301-05 (DE/CR)
5112,    Contingent/Direct Consultants,"Gaithersburg, MD 20877","$100,000 - $200,000 a year",Statistician - Healthcare or Pharma Industry
5152,    Jobspring Partners,"Washington, DC","$100,000 - $150,000 a year",Data Scientist
5179,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Software Engineer - Entry/Mid-Level
5211,    WSSC,"Laurel, MD 20707","$75,515 - $115,278 a year",Principal Environmental Engineer
5220,    Jobspring Partners,"Washington, DC","$100,000 - $130,000 a year",Java/Big Data Engineer
5229,    digiBlitz Inc,"Herndon, VA","$35,000 - $50,000 a year",Software Engineer Intern
5231,    National Security Agency,"Fort Meade, MD","$68,586 - $85,464 a year",Mathematical Statisticians - Entry/Mid-Level
5298,    Jobspring Partners,"Washington, DC","$100,000 - $150,000 a year",Data Analyst
5299,    Department of Commerce,"Alexandria, VA","$79,720 - $103,639 a year",Supervisory Paralegal Specialist
5321,    Catalist,"Washington, DC","$70,000 - $100,000 a year",Senior Product Manager
5348,    Central Intelligence Agency,"Washington, DC","$58,638 - $123,234 a year",Apps Developer
5369,    Jobspring Partners,"Washington, DC","$140,000 - $170,000 a year","Senior Software Engineer (AWS, Machine Learning, Python, Jav..."
5370,    Oak Ridge Associated Universities,"Washington, DC",$22.13 an hour,Payroll Support Associate at EPA
5410,    Jobspring Partners,"Washington, DC","$100,000 - $140,000 a year",Machine Learning Data Engineer
9004,    State of Arizona,"Phoenix, AZ","$45,000 - $65,000 a year",ENVIRONMENTAL OUTREACH SPECIALIST
9015,    City of Tempe Arizona,"Tempe, AZ","$53,676 - $72,463 a year",Police Research & Data Analyst I/II+
9016,    Maricopa County Community College District,"Phoenix, AZ","$50,958 - $60,512 a year",Institutional Research Analyst (Open until Filled)
9026,    Arizona State University,"Tempe, AZ","$34,560 - $38,500 a year",Academic Success Specialist
9027,    State of Arizona,"Phoenix, AZ","$50,000 a year",Public Health Scientist / Chemist
9030,    SiteLock,"Scottsdale, AZ","$50,000 - $55,000 a year",Web Security Research Analyst
9031,    Altair Engineering,"Chandler, AZ",$14.50 an hour,Administrative Assistant II
9034,    Arizona Health Care Cost Containment System,"Phoenix, AZ","$39,983 - $55,500 a year",RESEARCH AND STATISTICAL ANALYST
9043,    State of Arizona,"Phoenix, AZ","$45,000 - $77,000 a year",AIR QUALITY PLANNER 2-3
9057,    All About People,"Phoenix, AZ 85007 (Central City area)",$13 an hour,Customer Service / Research Analyst
13496,    Enterprise Select,"Chicago, IL 60601 (Loop area)","$125,000 a year",Data Scientist – Marketing Analytics
13542,    Illinois Criminal Justice Information Authority,"Chicago, IL","$55,000 - $60,000 a year",Research Analyst
13545,    ICJIA,"Chicago, IL 60606 (Loop area)","$55,000 - $60,000 a year",Research Analyst
13560,    Workbridge Associates,"Chicago, IL",$65 an hour,Data Scientist
13594,    Duo Data Services,"Chicago, IL","$120,000 - $160,000 a year","Associate Director, Statistics"
13604,    Workbridge Associates,"Chicago, IL","$140,000 a year",Lead Data Scientist
13618,    Workbridge Associates,"Chicago, IL","$130,000 a year","Lead Data Scientist (Tableau, RShiny, D3)"
13619,    Selby Jennings,"Chicago, IL","$70,000 - $120,000 a year","Quantitative Analyst, AVP"
13622,    Huxley Banking & Financial Services,"Chicago, IL","$100,000 a year",Operations Data Scientist
13648,    Workbridge Associates,"Chicago, IL",$45 - $80 an hour,Data Engineer Contractor
13652,    Jobspring Partners,"Chicago, IL","$130,000 - $160,000 a year",Lead Data Scientist (Marketing)
13654,    Jobspring Partners,"Chicago, IL","$70,000 - $80,000 a year",Data Scientist/Engineer
13666,    All-In Analytics,"Chicago, IL","$100,000 - $140,000 a year",Lead Machine Learning Data Scientist
13674,"    CPS, Inc.","Chicago, IL","$110,000 a year",Research Scientist / Sr. Research Scientist
13676,    Workbridge Associates,"Chicago, IL","$110,000 - $135,000 a year",Lead Data Scientist (Data Visualization)
13703,    Workbridge Associates,"Chicago, IL","$75,000 - $120,000 a year","Data Scientist (Python, R, AWS, Azure)"
13718,    Workbridge Associates,"Chicago, IL","$130,000 a year",Senior Data Scientist
13729,    Workbridge Associates,"Chicago, IL","$90,000 - $125,000 a year",Data Engineer/Scientist
13731,    Go2Group,"Chicago, IL","$130,000 - $190,000 a year",Senior Data Scientist
13781,    Request Technology,"Chicago, IL","$90,000 - $110,000 a year",Data Integration Architect
13816,"    Andrews Engineering, Inc.","Lombard, IL 60148","$50,000 - $65,000 a year",Civil/ Environmental Engineer
13838,    Jobspring Partners,"Chicago, IL","$75,000 - $110,000 a year",Software Engineer (Python)
13843,    Workbridge Associates,"Chicago, IL","$165,000 - $195,000 a year","Manager of Data Science (Python, AWS, Spark)"
13852,    All-In Analytics,"Downers Grove, IL","$70,000 - $80,000 a year",Sr. Machine Learning Developer
13877,    Momentum Scientific,"Wheaton, IL",$16 - $20 an hour,QC Laboratory Technician
13878,    Workbridge Associates,"Chicago, IL","$80,000 - $110,000 a year","Senior Data Engineer (AWS RedShift, MySQL, Python)"
13879,    Jobspring Partners,"Chicago, IL","$110,000 - $130,000 a year",Machine Learning Engineer (Ruby)
18046,    Griffin Advisors,"San Francisco, CA","$250,000 - $300,000 a year",PhD in AI / Machine Learning
18057,    Optimal Asset Management Inc,"San Francisco Bay Area, CA","$85,000 - $100,000 a year",Quantitative Analyst
18092,    consol partners,"San Francisco Bay Area, CA","$170,000 - $185,000 a year",Data Scientist
18102,"    Kennedy Unlimited Inc, Professional Staffing","San Francisco, CA","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
18137,    WingWarp Inc.,"San Francisco, CA 94158 (South Of Market area)","$10,000 a month",Video Machine Learning - field position/yard line a camera i...
18167,    Intellipro Group Inc.,"San Francisco, CA","$300,000 a year",Data Scientist
18171,    Aquila,"San Francisco, CA 94102 (Downtown area)","$100,000 - $150,000 a year",Senior Data Scientist
18257,    Blair Search,"San Carlos, CA","$150,000 - $225,000 a year","Sr. Senior Statistician PCA, CATA Multivariate, SPSS"
18267,    Blair Search,"San Ramon, CA","$145,000 - $160,000 a year",Sr Data Scientist- NLP and CODING REQ
18269,    Corporate Labs Technology,"Brisbane, CA","$110,000 - $180,000 a year",Data Scientist (Natural Language Processing)
18272,    Workbridge Associates,"San Francisco, CA","$160,000 - $180,000 a year",Data Scientist
18315,    Workbridge Associates,"San Francisco, CA","$180,000 - $220,000 a year",Director of Data Science
18383,    Workbridge Associates,"San Francisco, CA","$160,000 - $180,000 a year",Data Scientist ( IoT Startup)
18403,    Glocomms,"San Francisco, CA","$125,000 - $200,000 a year",Machine Learning Engineer
18460,    DONOR NETWORK WEST,"San Ramon, CA",$24.63 - $35.72 an hour,Organ Transplant Oversight Coordinator (PC)
18476,    Harnham,"San Francisco, CA","$240,000 a year",Head of Data Sciences
18485,    Tandem Recruiting Group,"San Francisco Bay Area, CA","$130,000 - $150,000 a year",Principal Machine Learning Scientist
18508,    Workbridge Associates,"San Francisco, CA","$120,000 - $150,000 a year",Data Scientist (Statistics)
18552,    Jobspring Partners,"San Francisco, CA","$90,000 - $140,000 a year",Software Engineer - Machine Learning/AI
18560,    Workbridge Associates,"San Francisco, CA","$175,000 - $225,000 a year",Director of Data Science (Merchandising Algorithms)
18609,    Ezra Penland Actuarial Recruitment,"San Francisco, CA","$175,000 - $300,000 a year",Insurance Marketing Data Scientist #76439
18654,    Workbridge Associates,"San Francisco, CA","$135,000 - $175,000 a year",Data Science Engineer
18738,    Harnham,"San Francisco, CA","$150,000 - $180,000 a year",Senior Data Scientist
18752,    Pentaho a Hitachi Company,"San Francisco, CA","$190,000 - $200,000 a year",Sales Engineer
18782,    Fortira,"San Francisco, CA",$45 an hour,Bench Scientist
18819,    FlowWest,"Oakland, CA",$25 - $30 an hour,Office Manager for Dynamic Environmental Startup
18850,    RecruitforKicks,"Berkeley, CA","$200,000 a year",Group Head BAT Biologics
18851,    TargetCW,"Emeryville, CA","$90,000 - $100,000 a year",Chemical Analytics Scientist
18896,    Workbridge Associates,"San Francisco, CA","$140,000 - $160,000 a year",Senior Data Scientist (NLP)
22488,    First Derivatives,"New York, NY 10022 (Midtown area)","$70,000 - $80,000 a year",Data Scientist
22516,    MetroPlus Health Plan,"New York, NY","$90,000 - $115,000 a year",Data Scientist
22524,    POLICE DEPARTMENT,"New York, NY","$70,286 - $88,213 a year",Data Analyst
22525,"    Quintrix Solutions, Inc","Tristates, NY","$135,000 a year","Data Scientist (Statistical Modeling, Big Data, ETL)"
22526,    Enterprise Select,"New York, NY 10005 (Financial District area)","$185,000 a year",Data Scientist
22558,    A Priori Investment Management LLC,"New York, NY 10016 (Gramercy area)","$125,000 - $175,000 a year",Quantitative Analyst
22582,    ACROSTAFF,"Albany, NY",$120 an hour,Data Scientist
22598,    DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY",$38.47 - $47.78 an hour,"Data Analyst, Bureau of Immunization/Immunization Surveillan..."
22642,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",$38.47 - $44.24 an hour,"Data Specialist, Bureau of Systems Strengthening and Access"
22644,"    Kennedy Unlimited Inc, Professional Staffing","New York, NY","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
22661,    Centers for Disease Control and Prevention,"New York, NY","$90,023 - $150,349 a year",Health Scientist
22667,    Oliver James Associates,"New York, NY","$180,000 a year",Data Scientist
22669,    605,"New York, NY","$95,000 - $130,000 a year",Full-Stack Engineer
22670,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $80,829 a year","Researcher/Data Analyst, Bureau of Mental Health"
22708,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $88,213 a year","Criminal Justice Analyst, Bureau of Mental Health"
22713,    ektello,"New York, NY",$43 - $48 an hour,Data Engineer
22714,    ADMIN FOR CHILDREN'S SVCS,"Manhattan, NY","$70,286 - $82,055 a year",CHILD WELFARE ANALYST
22718,    Birch & James Associates Limited,"New York, NY","$70,000 - $110,000 a year",Client Facing Python Engineers for A.I data consultancy
22739,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$85,211 - $110,522 a year","Research Scientist of Special Projects, World Trade Center H..."
22742,    Robert Walters,"New York, NY","$80,000 - $120,000 a year",Data Scientist
22751,    Averity,"New York, NY","$125,000 - $140,000 a year",Data Scientist
22757,    CONSUMER AFFAIRS,"Manhattan, NY","$70,286 - $82,000 a year",Senior Research Analyst
22770,    POLICE DEPARTMENT,"New York, NY","$42,288 - $63,519 a year","Statistician, Level I"
22772,    GUTTMACHER,"New York, NY","$40,000 a year",Research Assistant I
22775,    DEPARTMENT OF FINANCE,"Brooklyn, NY","$70,286 - $80,829 a year",Data Analyst/Modeler
22783,    Stony Brook University,"Stony Brook, NY","$52,000 - $62,000 a year",Data Manager/Statistician
22795,    DEPT OF ENVIRONMENT PROTECTION,"Manhattan, NY","$59,708 - $72,246 a year",Energy Data Policy Advisor
22815,    HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","$57,969 - $62,000 a year",DATA ANALYST
22817,"    Health, Department of","Albany, NY","$55,494 - $70,566 a year",Research Scientist 1 Or Research Scientist 2 (Epidemiology)...
22825,    DEPARTMENT OF FINANCE,"Manhattan, NY","$70,286 - $80,829 a year",Senior Modeler
22827,    DEPARTMENT OF FINANCE,"Manhattan, NY","$70,286 - $81,000 a year",Geospatial Data Scientist
22830,    EPM Scientific,"New York, NY","$80,000 - $100,000 a year",Variant Scientist
22832,    Research Foundation of The City University of New...,"New York, NY","$60,000 - $70,000 a year",Research Analyst II
22840,    ELSolutions,"New York, NY",$90 - $105 an hour,Data Scientist
22841,    Stony Brook University,"Stony Brook, NY","$60,000 - $75,000 a year",Research Scientist
22885,    ADMIN FOR CHILDREN'S SVCS,"New York, NY","$70,286 - $83,784 a year",Senior Analyst
22889,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $80,829 a year","Data Analyst, Bureau of Primary Care Information Project"
22891,    Harnham,"New York, NY","$180,000 a year","VP, Data Scientist - Banking"
22892,"    XG Consultants Group, Inc.","New York, NY 10017 (Midtown area)",$15 an hour,Entry Level – Research Analyst/Editor/Content Marketing Spec...
22940,    DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","$59,708 - $72,246 a year","Panel Maintenance Analyst, World Trade Center Health Registr..."
22942,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$59,708 - $65,678 a year","Data Analyst, Bureau of Division Management/Center for Healt..."
22959,    DEPARTMENT OF TRANSPORTATION,"Manhattan, NY","$70,286 - $88,213 a year",Environmental Compliance Specialist
22965,    OFFICE OF THE COMPTROLLER,"Manhattan, NY","$65,000 - $85,000 a year",Senior Research Analyst
22996,    DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","$70,286 - $87,295 a year","Research Analyst , Bureau of HIV/AIDS Prevention and Control"
23032,"    Children & Family Services, Office of","Rensselaer, NY","$68,238 - $86,398 a year",Research Scientist 2
23043,    Oliver James Associates,"New York, NY","$140,000 - $180,000 a year",Principal Data Scientist
23047,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $88,213 a year","City Research Scientist, Bureau of Sexually Transmitted Dise..."
23058,    DEPT OF ENVIRONMENT PROTECTION,"Queens, NY","$70,286 - $88,213 a year",OSPE Program Analyst
23060,    Venturi Ltd,"New York, NY","$100,000 - $250,000 a year",Senior Data Engineer ( Search / IR / Python / ML / NLP / AI...
23077,    NYC Department of Consumer Affairs,"Manhattan, NY","$70,286 - $82,000 a year",Research Analyst (Job ID: 287881)
23078,    Execu | Search,"New York, NY","$100,000 - $200,000 a year",Data Scientist
23080,"    Envisagenics, Inc.","New York, NY","$50,000 - $70,000 a year",Bioinformatics Analyst
23092,    DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","$59,708 - $64,485 a year",Environmental Analyst
23120,    Harnham,"New York, NY","$180,000 a year",Senior Data Scientist
23132,    Social Science Research Council,"Brooklyn, NY","$33,000 a year",Education Research and Anxieties of Democracy: Program Assis...
23134,    DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","$59,708 - $72,246 a year","Data Analyst, Bureau of Immunization"
23139,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",$32.68 - $35.95 an hour,"City Research Scientist, Bureau of Environmental Sciences an..."
23170,    CKM Advisors,"New York, NY 10013 (Tribeca area)",$15 - $20 an hour,Part Time Office Manager
23171,    Princeton Consulting,"New York, NY 10018 (Clinton area)","$130,000 - $160,000 a year",Quantitative Engineer & Analyst
23179,    Access Staffing LLC,"New York, NY 10017 (Midtown area)","$140,000 - $200,000 a year",Senior Quantitative Financial Analyst-Audit Model Risk
23191,    Robert Walters,"New York, NY","$130,000 - $160,000 a year",Principal Data Scientist
23202,    Harnham,"New York, NY","$120,000 a year",Data Scientist - Retail Banking
23203,    Venturi Ltd,"New York, NY","$100,000 a year",Senior Data Analyst ( EdTech / R / DataViz / Data Modelling...
23206,    Robert Walters,"New York, NY","$110,000 - $140,000 a year",Lead Data Scientist
23211,    Robert Walters,"New York, NY","$90,000 - $140,000 a year",Quantitative Risk Analyst (Top Tier Hedgefund)
23217,    DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","$70,286 - $80,829 a year","Data Manager – Researcher, Bureau of Children, Youth & Famil..."
23238,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$78,630 - $103,332 a year","Senior Data Manager, Family and Child Health Administration"
23245,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$78,630 - $102,600 a year","Senior Research Analyst, Bureau of Maternal Infant and Repro..."
23271,    Research Foundation of SUNY,"Vestal, NY","$65,000 a year",Research Scientist - SSIE
23285,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$87,768 - $113,838 a year","Senior Epidemiologist, Prevention and Primary Care"
23296,    AiCure,"New York, NY","$80,000 - $120,000 a year",Senior Project Manager for AI Healthcare Company
23304,    Averity,"New York, NY","$130,000 - $160,000 a year","Senior Data Scientist for Global, Multi-Billion Dollar Publi..."
23322,    DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","$59,708 - $65,678 a year","Research Data Analyst , Bureau of Veterinary and Pest Contro..."
23324,    Oliver James Associates,"New York, NY","$180,000 a year",Corporate Vice President Data Scientist – Marketing & Custom...
23330,    Oliver James Associates,"New York, NY","$100,000 - $140,000 a year",Lead Data Scientist
23333,    DEPT OF ENVIRONMENT PROTECTION,"Queens, NY","$78,630 - $103,332 a year",Environmental Health & Safety Auditor
23349,    S.C. International,"New York, NY","$130,000 a year",Sr. Modeling Data Scientist
23355,    Algorithmic Districting Initiative (Non-Profit),"New York, NY 10011 (Chelsea area)","$120,000 a year",Democracy & Mapping Engineer
23368,    AiCure,"New York, NY","$60,000 - $80,000 a year",IT Support Specialist
23373,    Robert Walters,"New York, NY","$90,000 - $140,000 a year",Quantitative Risk Analyst
23391,    Averity,"New York, NY","$100,000 - $140,000 a year",Sr. Statistician for Global for Top Name-Brand Company
23392,"    Elite Personnel, Inc.","Chestnut Ridge, NY",$40 - $47 an hour,Statistician
23594,    CTG,"Corning, NY",$25.50 - $37.75 an hour,Data Analyst 3 - 17204273
26986,    University of Texas at Dallas,"Richardson, TX","$55,000 a year",Research Associate
27009,    Workbridge Associates,"Dallas, TX","$80,000 - $100,000 a year",Data Scientist
27046,    Real Time Resolutions Inc.,"Dallas, TX 75247 (Northwest Dallas area)","$30,000 a year",Account Research Analyst
27063,    Texas Tech Univ Health Sciences Ctr,"Dallas-Fort Worth, TX","$4,000 a month",HSC Sr Research Scientist
27080,"    Clovity, Inc.","Plano, TX 75075",$70 a day,Data Analyst/Scientist (Datameer)
27111,    Themesoft Inc,"Dallas, TX",$50 an hour,"Senior Data Scientist - Dallas,TX"
27118,    Medcillary,"Dallas, TX","$32,000 a year",Administrative Assistant
27132,    Lighthouse Recruiting,"Dallas, TX","$65,000 - $80,000 a year",Certifying Scientist
27168,    Cottonwood Financial,"Irving, TX 75038","$120,000 a year",DIRECTOR OF MARKETING ANALYTICS
27169,    Lighthouse Recruiting,"Dallas, TX 75240 (Far North area)","$65,000 - $75,000 a year","Method Development, Clinical Toxicology"
31478,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA","$110,000 - $135,000 a year",Data Scientist
31479,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA",$60 - $65 an hour,Data Scientist - PowerPoint
31485,    CEI,"Philadelphia, PA","$85,000 a year",Data Analytics Engineer
31499,    Smith Hanley Associates,"Philadelphia, PA","$120,000 - $140,000 a year",Data Scientist
31520,    Jobspring Partners,"Philadelphia, PA","$90,000 - $130,000 a year","Data Scientist (R, SAS, Python)"
31521,    Workbridge Associates,"Philadelphia, PA","$70,000 - $125,000 a year","Data Scientist - Machine Learning, Team Buildout"
31524,"    Kennedy Unlimited Inc, Professional Staffing","Wilmington, DE","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
31546,    Winston Fox,"Philadelphia, PA","$100,000 - $110,000 a year",Quantitative Analyst
31592,    Apex Life Sciences,"Philadelphia, PA","$50,000 a year","Research Scientist (Gene Therapy, Molecular Cloning, ELISA)"
31618,    EPM Scientific,"West Point, PA","$115,000 - $145,000 a year",NMR Spectroscopist
31649,    3coast,"Philadelphia, PA","$150,000 - $250,000 a year",Quant Research Analyst
31671,    EPM Scientific,"Philadelphia, PA","$130,000 - $160,000 a year",Principle Scientist
31707,    Liberty Personnel Services,"Wilmington, DE","$140,000 a year",Data Scientist
31732,    Juno Search Partners,"Philadelphia, PA 19107 (City Center East area)","$100,000 - $120,000 a year",DevOps Engineer
31740,    Jobspring Partners,"Philadelphia, PA","$135,000 - $155,000 a year",Senior Front-End Engineer
31776,    Smith Hanley Associates,"Horsham, PA","$120,000 a year",Senior Statistician/Data Scientist-PHARMA
31808,"    RDAssociates, Inc.","Narberth, PA",$12 an hour,Market Research Analyst/Quality Assurance
31853,    Hunter International,"Wilmington, DE",$56 an hour,Intellectual Property Analyst
31872,    inVentiv Health Clincal,"Collegeville, PA","$50,000 - $62,000 a year",Clinical Study Associate Trial Master File – TMF
35989,    Denver Health,"Denver, CO","$66,654 a year",Statistical Research Specialist
35993,    State of Colorado Job Opportunities,"Denver, CO","$5,269 - $7,712 a month",Marijuana Reference Laboratory Lead Scientist - 2034
35998,    TechnoHealth,"Denver, CO","$150,000 a year",Data Scientist
36039,    State of Colorado Job Opportunities,"Denver, CO","$3,307 - $4,703 a month",Engineering/Physical Science Assistant III - Water Well Perm...
36065,    University of Colorado,"Aurora, CO","$47,477 a year",Post-Doctoral Fellow
36106,    xentity corporation,"Denver, CO","$95,000 - $127,000 a year",Government Enterprise Architect
36117,    University of Colorado,"Boulder, CO","$43,000 a year",IBS Project Coordinator / Sponsored Project Specialist
36164,    Technical Integrity,"Boulder, CO 80303 (Southeast Boulder area)","$160,000 - $180,000 a year",Senior Software Architect for Cybersecurity Industry Leader
40501,    TWIM,"Anaheim, CA 92805","$70,000 - $200,000 a year",Deep Learning 딥러닝/ Machine Learning 머신러닝 엔지니어
40512,    Rio Hondo College,"Whittier, CA","$5,251 - $6,719 a month",Research Analyst
40518,    ANRE Technologies Inc.,"Pasadena, CA","$80,000 - $160,000 a year","Software Engineer/Data Scientist, C/C++, Python in a Linux e..."
40532,    Seek Business Capital,"Los Angeles, CA 90048","$65,000 - $75,000 a year",Senior Statistician - Credit Cards
