,company,location,salary,summary,title,float_salary
7887,    S.C. International,"Chicago, IL","$130,000 a year","Seeking a self-starter with 3+ years of professional experience in statistical modeling, data science, machine learning, data or text mining, and data...",Data Scientist Predictive Modeler,130000.0
7901,    Workbridge Associates,"Chicago, IL","$110,000 - $135,000 a year","The ideal candidate will have a strong sense of predictive modeling or machine learning experience and has been hands on using Python, R, Hadoop, Spark, and...",Lead Data Scientist (Data Visualization),122500.0
7903,    Bioron Inc.,"Lemont, IL",$45 an hour,Is a contract research organization providing services to both pharmaceutical scientists and academic researchers....,Part-time scientist for APS beamline data collection for pro...,93600.0
7921,    Jobspring Partners,"Chicago, IL","$115,000 - $130,000 a year",Full stack data scientists looking to grow with a brand new team in a well-developed company keep reading. The role is unique in that it’s a senior level role...,Senior Data Engineer,122500.0
7925,    Go2Group,"Chicago, IL","$130,000 - $190,000 a year","Proven expertise with advanced analytics/data mining tools/programming languages such as SAS, IBM/SPSS, R, Python, and SQL....",Senior Data Scientist,160000.0
7946,    Workbridge Associates,"Chicago, IL","$90,000 - $125,000 a year","An early stage, funded startup within the fraud analytics and prevention space is looking to build out their analytics team by adding an engineer with big data...",Data Engineer/Scientist,107500.0
7949,    Jobspring Partners,"Chicago, IL","$100,000 - $130,000 a year","They are ideally looking for a candidate with at least three years of Machine Learning experience in addition to experience in either Python, R, or Matlab;...",Senior Machine Learning Engineer,115000.0
7966,    Cook County Health & Hospitals System,"Chicago, IL",$24.56 an hour,"Medical Technologist (MT), Clinical Laboratory Scientists (CLS) or other national certification. Must have qualified as an Medical Technologist as defined by...",MEDICAL TECHNOLOGIST II – MICROBIOLOGY- JOHN H. STROGER HOSP...,51084.8
7971,"    CPS, Inc.","Chicago, IL","$110,000 a year","\*Confer with company scientists and commercial teams to conduct analyses of research projects, interpret test results, or develop non-standard tests....",Research Scientist / Sr. Research Scientist,110000.0
7978,    Jobspring Partners,"Chicago, IL","$110,000 - $130,000 a year","This is a hybrid role where you will spend half your time programming with Ruby on our core API platform, while the other half of the time you will get the...",Machine Learning Engineer (Ruby),120000.0
8001,    Request Technology,"Chicago, IL","$100,000 - $130,000 a year","Master’s degree or Ph.D in and 3 years as a Data Scientist with C/C++, Python, Perl, Java, Company uses Python and R in this role)....",Sr. Data Scientist,115000.0
8007,    Jobspring Partners,"Chicago, IL","$75,000 - $110,000 a year",Brand new product that is used globally by the top scientists and doctors. Health Savings Account. 5 Medical Plans....,Software Engineer (Python),92500.0
8008,    Cook County Health & Hospitals System,"Chicago, IL",$28.80 an hour,Qualified as an Medical Technologist as defined by the Illinois Clinical Laboratories Code and Clinical Laboratory Improvement Amendments (CLIA) (....,MEDICAL TECHNOLOGIST III - JOHN H. STROGER HOSPITAL,59904.0
8033,    Smith Hanley Associates,"Chicago, IL","$75,000 - $95,000 a year","-Interpret data, extract insights and build business solutions. -Proficiency using SAS, R, SQL, Tableau etc. Experience with Salesforce, or Alteryx a plus....",CRM Consultant/Sr. Statistical Analyst,85000.0
8082,"    Andrews Engineering, Inc.","Lombard, IL 60148","$50,000 - $65,000 a year","Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other specialists to address...",Civil/ Environmental Engineer,57500.0
8087,    Momentum Scientific,"Wheaton, IL",$16 - $20 an hour,"Data analysis experience. Experience with scientific reasoning. BS in Chemistry, Biology, Physics, or Geology....",QC Laboratory Technician,37440.0
8088,    Workbridge Associates,"Chicago, IL","$80,000 - $110,000 a year","Capable of thinking through complex business problems and solve them by analyzing on large amounts of data Familiarity with R or SAS for statistical modeling,...","Senior Data Engineer (AWS RedShift, MySQL, Python)",95000.0
8089,    Request Technology,"Chicago, IL","$90,000 - $110,000 a year",Strong logical / physical data modeling across many different data management platforms. Data integration issues and integration patterns....,Data Integration Architect,100000.0
10839,    PDDN Inc,"San Mateo, CA",$60 an hour,"Data Analytics experience do you have:. Experience with Python libraries for signal processing, machine learning and visualization (e.g., scipy, scikit-learn,...",Data Scientist,124800.0
10885,    Griffin Advisors,"San Francisco, CA","$250,000 - $300,000 a year","Ideally a PhD in Deep Learning or has experience in advanced machine learning with a PhD in Theoretical Physics, Applied Mathematics, or a related field....",PhD in AI / Machine Learning,275000.0
10890,    Cloud Big Data Technologies,"Redwood, CA",$65 - $66 an hour,"Good understanding of machine learning algorithms like classification, clusterings, text processing. 6+ years of experience in Data....",Data Scientist,136240.0
10933,    Optimal Asset Management Inc,"San Francisco Bay Area, CA","$85,000 - $100,000 a year","Assists in the development of data infrastructure for investment management including market, portfolio and analytics data....",Quantitative Analyst,92500.0
10952,    WingWarp Inc.,"San Francisco, CA 94158 (South Of Market area)","$10,000 a month",We would like to process real time video of a football game via a RSTP video stream and know the center yard line (within 5-10 yards) the camera is showing ,Video Machine Learning - field position/yard line a camera i...,120000.0
10962,    consol partners,"San Francisco Bay Area, CA","$170,000 - $185,000 a year","Machine learning, data analytics, information retrieval. Data Science / Machine Learing:. My client is a stealth mode start up with $1.5 million of investment...",Data Scientist,177500.0
10995,    Aquila,"San Francisco, CA 94102 (Downtown area)","$100,000 - $150,000 a year","Work on a cross-functional team including Data Scientists, Product Managers, Engineers, and marketing leads across the Aquila organization....",Senior Data Scientist,125000.0
11021,    Intellipro Group Inc.,"San Francisco, CA","$300,000 a year","Use data mining and machine learning skills to design and develop products which drive engagement, growth, retention, and monetization....",Data Scientist,300000.0
11064,    Glocomms,"San Francisco, CA","$160,000 - $180,000 a year","Expertise in probability and statistics, including machine learning, modeling, and experimental design. Advanced degree in computer science, math, or related...",Data Scientist,170000.0
11116,    3sixtyHR,"San Francisco, CA","$120,000 - $170,000 a year","We are looking for candidates that have a strong background in Deep Learning and enjoy translating deep learning techniques into production code, while growing...",Deep Learning/Machine Learning Engineer,145000.0
11122,"    Kennedy Unlimited Inc, Professional Staffing","San Francisco, CA","$140,000 - $165,000 a year",Responsibilities of the Data Scientist Data Modeling (Machine Learning Python). Experience coding in R and Python and big data environments Hadoop Aster....,Data Scientist Data Modeling (Machine Learning Python),152500.0
11140,    Averity,"San Francisco, CA","$160,000 - $200,000 a year",You will be leading a team of two data scientists (one mid-level data scientist and one junior data scientist)....,Director of Data Science (NYC),180000.0
11144,    Corporate Labs Technology,"Brisbane, CA","$110,000 - $180,000 a year",Fast growing social media company is looking to add to their team. Natural Language Processing....,Data Scientist (Natural Language Processing),145000.0
11149,    Corporate Labs Technology,"Brisbane, CA","$110,000 - $180,000 a year",Machine Learning Developer. Fast growing social media company is looking to add to their team. Sign on bonus....,Data Scientist (Machine Learning),145000.0
11204,    County of San Mateo,"San Mateo County, CA",$39.74 - $52.59 an hour,The San Mateo Medical Center Laboratory is looking for experienced Clinical Laboratory Scientists to join our team!...,Clinical Laboratory Scientist I/II (Medi...,96023.2
11270,    Robert Walters,"San Francisco, CA","$150,000 - $180,000 a year","Knowledge of scientific computing languages (e.g., Python, R, Matlab, Scala, Julia). Data pipeline engineering....",Senior Data Scientist,165000.0
11271,    FlowWest,"Oakland, CA",$25 - $30 an hour,"Our diverse team includes engineers, aquatic ecosystem experts, programmers, and data scientists, and we have offices in Oakland and Sacramento....",Office Manager for Dynamic Environmental Startup,57200.0
11352,    Ezra Penland Actuarial Recruitment,"San Francisco, CA","$175,000 - $300,000 a year",Property and casualty insurance startup plans to hire an Insurance Marketing Data Scientist in California for Position 76439....,Insurance Marketing Data Scientist #76439,237500.0
11363,    Workbridge Associates,"San Francisco, CA","$170,000 - $180,000 a year",Machine learning platform startup in downtown San Francisco is hiring their Head of Machine Learning who will be hands-on in developing algorithms for text...,Head of Machine Learning,175000.0
11371,    Workbridge Associates,"San Francisco, CA","$160,000 - $180,000 a year",A San Francisco based mobile application enhancement company is hiring a Data Scientist to apply scientific principles to data to support engineering and...,Data Scientist ( IoT Startup),170000.0
11414,    Amerit Consulting,"South San Francisco, CA 94080",$34 an hour,The Immuno-Oncology research group is looking for an individual to work with a highly-motivated group of scientists with a focus on Tumor Immnuotherapy....,Sr Associate Research Operations - 3289,70720.0
11416,    RecruitforKicks,"Berkeley, CA","$200,000 a year",Recruit and develop highly qualified and motivated engineers and scientists. Collaborate with the Process Dynamics and Optimization (PDO) group to align...,Group Head BAT Biologics,200000.0
11430,    Harnham,"San Francisco, CA","$240,000 a year","Data Science, Data Scientist, Deep Learning, Tensorflow, Neural Networks, Big Data, R, SQL, Python, Insight, Analytics, Data, Statistics, Modelling, Machine...",Head of Data Sciences,240000.0
11450,    Strategic Employment Partners,"San Mateo, CA","$120,000 a year",Well-versed in deep machine learning or artificial intelligence. My client is a leading technology solutions provider for the medical and healthcare industry...,Machine Learning Research Engineer,120000.0
11528,    Greenberg Strategy,"San Francisco Bay Area, CA","$60,000 - $70,000 a year","We are a team of strategists, researchers, social scientists, marketers, designers, and videographers, shaped around our WholeHuman™ approach – the art and...",Senior Accountant,65000.0
11555,    Workbridge Associates,"San Francisco, CA","$140,000 - $160,000 a year",Data Scientist that will be formative in shaping the company’s text analytics & machine learning product....,Senior Data Scientist (NLP),150000.0
11595,    TargetCW,"Emeryville, CA","$90,000 - $100,000 a year","We are seeking a Chemical Analytics Scientist that will be working with closely with our fermentation, biology, method development, and scientific computing...",Chemical Analytics Scientist,95000.0
11649,"    Blu Chips, Inc","San Francisco, CA 94132 (Lakeshore area)","$180,000 a year",Perform deep data driven analysis to surface actionable insights and product requirements. You will work with Data Scientists and Engineers to define and...,"Sr. Product Manager, Personalization",180000.0
14012,    Workbridge Associates,"Dallas, TX","$80,000 - $100,000 a year","By using Python, R, machine learning techniques, and natural language processing, you will source client data to create industry benchmarks....",Data Scientist,90000.0
14050,    Real Time Resolutions Inc.,"Dallas, TX 75247 (Northwest Dallas area)","$30,000 a year",Identify complaint/dispute trends through proactive root cause analysis and provide suggestions for improvement....,Account Research Analyst,30000.0
14130,    Lighthouse Recruiting,"Dallas, TX","$65,000 - $80,000 a year","Join our Medical Laboratory Scientists Groups:. The Laboratorian features a list of open clinical lab jobs, the latest industry news, salary information,...",Certifying Scientist,72500.0
14131,    Anchor Point Technology Resources,"Dallas, TX","$100,000 a year",Client's scientists are globally located in R&D Centers of Excellence to better serve our customer’s needs....,District Sales Manager,100000.0
14137,    Lighthouse Recruiting,"Dallas, TX 75240 (Far North area)","$65,000 - $75,000 a year","Lighthouse Recruiting is representing a large clinical toxicology laboratory in Dallas, TX that is seeking an R&D Scientist to oversee development of toxicology...","Method Development, Clinical Toxicology",70000.0
17131,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA",$60 - $65 an hour,"The team's focus spans the entire analytics life cycle from data acquisition and enrichment, to generating analytical insights, to self-service analysis and...",Data Scientist - PowerPoint,130000.0
17137,    CEI,"Philadelphia, PA","$85,000 a year",Data Analytics Engineer*. The analytics engineer will be responsible to help create our next-generation analytics platform and the responsibilities span the...,Data Analytics Engineer,85000.0
17158,    Smith Hanley Associates,"Philadelphia, PA","$120,000 - $140,000 a year","Data Scientist Qualifications:. You will use programming, machine learning, predictive modeling and Big Data skills to seek insights....",Data Scientist,130000.0
17168,    Workbridge Associates,"Philadelphia, PA",$60 - $70 an hour,"In this role you will be a large part of data mining, optimization, and statistical analysis. Experience with Machine Learning....",Data Scientist,135200.0
17172,"    Kennedy Unlimited Inc, Professional Staffing","Wilmington, DE","$130,000 - $140,000 a year",4 plus years of current projects involving predictive analytics and hands-on machine learning techniques. Use your current research and analysis skills to apply...,Predictive Analytics (Machine Learning),135000.0
17176,    Workbridge Associates,"Philadelphia, PA","$70,000 - $125,000 a year",A recently acquired energy company here in Center City Philadelphia is looking to bring on a team of seasoned and junior Data Scientists to continue to grow...,"Data Scientist - Machine Learning, Team Buildout",97500.0
17178,    Jobspring Partners,"Philadelphia, PA","$100,000 - $160,000 a year","In this role, the specialist will apply machine learning and data mining technologies to develop innovative solutions in the pharmaceutical industry....",Data Scientist/Machine Learning Specialist,130000.0
17180,    Jobspring Partners,"Philadelphia, PA","$90,000 - $130,000 a year","In this position you will be working largely in predictive modelling, helping to transform massive data sets into quantifiable insights....","Data Scientist (R, SAS, Python)",110000.0
17196,    Jobspring Partners,"Philadelphia, PA","$90,000 - $120,000 a year",A health services company that leverages technology to help their clients gain access to a breadth of unused data is looking to bring on a Data Analyst...,"Data Analyst/Scientist (SAS, Python, SQL)",105000.0
17212,    Jobspring Partners,"Philadelphia, PA","$100,000 - $130,000 a year","Experience with Data Mining. This agency, specializing in the healthcare industry, is seeking a Machine Learning Researcher to join their Data Science team....",Machine Learning Researcher,115000.0
17219,    EPM Scientific,"West Point, PA","$115,000 - $145,000 a year","Scientist | Structure Elucidation*. Excellent Written and Data Compiling Skills via IT Solutions. West Point, PA*....",NMR Spectroscopist,130000.0
17223,    3coast,"Philadelphia, PA","$150,000 - $250,000 a year","You will participate in back-testing, where you will evaluate changes in market activity and differences in real-world behavior and then and utilize this...",Quant Research Analyst,200000.0
17230,    Winston Fox,"Philadelphia, PA","$100,000 - $110,000 a year","Quants move the business forward by improving, identifying, and implementing trading strategies and models for the firm, in evermore innovative and...",Quantitative Analyst,105000.0
17248,    Jobspring Partners,"Philadelphia, PA","$110,000 - $160,000 a year","They are looking for a Data Scientist, specialized in Machine Learning, to join their team. This team of Data Scientists analyze and predict industry data to...",Machine Learning Engineer,135000.0
17257,    Harnham,"Philadelphia, PA","$170,000 a year","Data mining, machine learning, operations research, natural language processing, statistics, or information retrieval....",Senior Data Scientist Healthcare,170000.0
17261,    Apex Life Sciences,"Philadelphia, PA","$50,000 a year","Read relevant scientific literature and journals, share the results of research with colleagues through presentations and discussions, help in preparations of...","Research Scientist (Gene Therapy, Molecular Cloning, ELISA)",50000.0
17274,    DOCS Global,"Philadelphia, PA","$150,000 - $160,000 a year",Assist efforts to obtain external scientific and clinical validation of clinical research protocols by establishing links with outside experts to initiate and...,Home-based Clinical Drug Development Scientist,155000.0
17308,    Jobspring Partners,"Philadelphia, PA","$65,000 - $80,000 a year","As a Business Analyst, you will work closely with developers, analysts, and data scientists to help deliver project deadlines....",Mid Level Business Analyst,72500.0
17312,    EPM Scientific,"Philadelphia, PA","$130,000 - $160,000 a year","Principal Scientist | Structure Elucidation. Excellent Written and Data Compiling Skills via IT Solutions. 130k – 160k + Bonus, Incentives, Vertical Progression...",Principle Scientist,145000.0
17349,    Juno Search Partners,"Philadelphia, PA 19107 (City Center East area)","$100,000 - $120,000 a year","Their academic platform helps answer questions around data sharing and analysis, helping scientists and medical professionals make better decisions within...",DevOps Engineer,110000.0
17371,    Liberty Personnel Services,"Wilmington, DE","$140,000 a year",Data Scientist – Financial Environment – SQL R SAS. 4+ years of relevant experience with a proven track record of leveraging analytics and large amounts of data...,Data Scientist,140000.0
17413,    Jobspring Partners,"Philadelphia, PA","$135,000 - $155,000 a year",One will be a web-based application used by data scientists for machine learning purposes. Previous big data experience....,Senior Front-End Engineer,145000.0
17453,    Hunter International,"Wilmington, DE",$56 an hour,"Information Scientist, 13309*. The initial step will be to develop the scope and a project plan to complete the analysis....",Intellectual Property Analyst,116480.0
17520,    inVentiv Health Clincal,"Collegeville, PA","$50,000 - $62,000 a year","At least 3 years’ experience from a CRO or Sponsor Company working in clinical research, clinical operations or data scientist roles (eg Study Manager, Clinical...",Clinical Study Associate Trial Master File – TMF,56000.0
17524,    Smith Hanley Associates,"King of Prussia, PA","$115,000 a year","Conduct statistical modeling and data analysis for SFE engagements and other commercial analytics areas, with methodology when it comes to data insight and...","Sr. Mgr./Mgr., Statistician-SFE --PHARMA",115000.0
17557,"    RDAssociates, Inc.","Narberth, PA",$12 an hour,Marketing Research and Consulting Firm seeks an individual to assist the Project Manager in conducting mystery shopping/quality assurance services....,Market Research Analyst/Quality Assurance,24960.0
20301,    TechnoHealth,"Denver, CO","$150,000 a year","Sr Data Scientist. NLP, DL, ML for AML/KYC/customer/product analytics/ demand/forecast use cases.Hadoop, big data analytics, AWS, GCP....",Data Scientist,150000.0
20302,    Denver Health,"Denver, CO","$66,654 a year","The Denver Health system includes the Rocky Mountain Regional Level I Trauma Center, a 525-bed acute care medical center, Denver’s 911 emergency medical...",Statistical Research Specialist,66654.0
20314,    Denver Public Schools,"Denver, CO","$63,339 - $76,007 a year","Create, maintain and manage data views (end user view design). The Senior Research Analyst 1) facilitates student outcome data presentation in cross-department...",SENIOR RESEARCH ANALYST,69673.0
20357,    University of Colorado,"Aurora, CO","$47,477 a year","Synthesis of data presenting data at lab meetings, reviewing literature relevant to project and writing of manuscript....",Post-Doctoral Fellow,47477.0
20358,    University of Colorado,"Boulder, CO","$65,000 a year","Scientists as well as the ongoing evolution of library roles and services. Culture, data needs, and publication trends in the earth and environmental....","Head, Jerry Crail Johnson Earth Sciences & Map Library",65000.0
20380,    xentity corporation,"Denver, CO","$95,000 - $127,000 a year","Bachelor's Degree with a Masters in Business Administration, Information Technology, or specific relevant subject area....",Government Enterprise Architect,111000.0
20405,    State of Colorado Job Opportunities,"Denver, CO","$3,307 - $4,703 a month","High school diploma or GED AND two years of experience assisting engineers, scientists, or technicians with work related to engineering, physical sciences,...",Engineering/Physical Science Assistant III - Water Well Perm...,48060.0
20592,    Technical Integrity,"Boulder, CO 80303 (Southeast Boulder area)","$160,000 - $180,000 a year","The senior software architect, who will work directly to the Co-founder and Chief Scientist, will have significant input on the direction and execution of the...",Senior Software Architect for Cybersecurity Industry Leader,170000.0
23426,    City of Albuquerque,"Albuquerque, NM","$50,107 - $59,738 a year","Perform a variety of duties involved in the development and implementation of short and long range plans, programs and special projects in the field of...",Environmental Health Scientist E16,54922.5
23506,    Department of the Air Force,"Kirtland AFB, NM","$40,033 - $52,043 a year",Scientific information through a variety of data-sources and scientific. Plans work procedures and select standard practices and data to be applied....,"Physicist, GS-1310-7-Palace Acquire Intern",46038.0
23551,"    UNM Medical Group, Inc.","Albuquerque, NM 87106 (University Hts area)",$17.16 an hour,"Through its partnership with the New Mexico Cancer Care Alliance, an 'exemplary national model for cancer health care delivery', the UNM CCC offers access to...",Medical Coding Analyst 1,35692.8
23552,"    UNM Medical Group, Inc.","Albuquerque, NM 87106 (University Hts area)",$25.41 an hour,"Through its partnership with the New Mexico Cancer Care Alliance, an 'exemplary national model for cancer health care delivery', the UNM CCC offers access to...",Radiology Tech - CT Simulator,52852.8
23554,"    UNM Medical Group, Inc.","Albuquerque, NM 87106 (University Hts area)",$15.83 an hour,"We employee over 200 research scientists and staff and over 100 clinicians, and at any one time participate in around 300 clinical trials....",Ambulatory Patient Services Coordinator,32926.4
26578,    PharmLabs Coachella Valley LLC,"Coachella, CA 92236",$17 - $20 an hour,"Uses computer terminal to process analyzed data. Processes, organizes, and summarizes data and reports results of experiments....",Scientific Laboratory Technician,38480.0
29717,    Louisiana State Government,"New Orleans, LA","$3,051 - $6,072 a month","Inspections, investigations, quality assurance, quality control, and environmental health risk assessment, by performing at an advanced level in collecting,...",Environmental Health Scientist Coordinator,54738.0
29732,    Department of Veterans Affairs - Agency Wide,"New Orleans, LA","$52,550 - $68,318 a year","Clinical practice programs completed after 1974 must have been accredited by the National Accrediting Agency for Clinical Laboratory Sciences (NAACLS),...",Medical Technologist/CLS/(Part-time)/Alternate Tours:Evening...,60434.0
32858,    MD Anderson Cancer Center,"Houston, TX","$76,400 - $114,600 a year","Works closely with clinical scientists to understand data processing challenges and provide custom solutions for sequencing, gene expression, proteomics,...",Computational Scientist,95500.0
32866,    Baylor College of Medicine,"Houston, TX","$43,794 a year","The QA analyst will report to the Director of Project Development and will assist project managers in sample tracking, data quality control screening and...",Quality Assurance Analyst (Research),43794.0
32869,    Rice University,"Houston, TX","$40,800 - $79,100 a year","Various fields in science and engineering, including but not limited to materials science, physics, applied physics, chemical engineering, mechanical...",Research Scientist,59950.0
32874,    MD Anderson Cancer Center,"Houston, TX","$45,500 - $82,000 a year",Review institutional and other pertinent data to identify potential gaps in reported data. Interacts with staff in the Office of Protocol Research to advise on...,Research Admin Analyst,63750.0
32875,    MD Anderson Cancer Center,"Houston, TX","$42,400 - $63,600 a year",Assist Research Scientists and Investigators to organize and prepare data for loading. Identify and develop data visualization methods for high fidelity data...,Data Analyst- Immunology,53000.0
32880,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year","The primary purpose of the Research Statistical Analyst position is to carry out data preparation responsibilities related to cancer clinical trials, develop...",Research Statistical Analyst - Biostatistics,83000.0
32883,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year","Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...",Research Statistical Analyst,83000.0
32887,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year","The primary purpose of the Research Statistical Analyst position is to c arry out data preparation responsibilities related to cancer clinical trials, develop...",Research Statistical Analyst -Bioinformatics & Computational...,83000.0
32908,    MD Anderson Cancer Center,"Houston, TX","$25,200 - $51,500 a year","MD Anderson is known for providing cancer patients with exceptional care, which includes early access to innovative new treatments through clinical trials....",Institute Associate Scientist I – Medicinal Chemistry,38350.0
32932,    MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year",Participate in integrated drug discovery research teams by engaging in interaction with scientists of different disciplines....,Institute Associate Scientist II – Protein Production,64750.0
32934,    MD Anderson Cancer Center,"Houston, TX","$38,000 - $57,000 a year",Research scientists to design experiments involving genetically modified T. Sciences or related field and three years of experience in scientific or....,Senior Research Assistant - Neurosurgery Research,47500.0
32936,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year","With Medical degree, two years of experience in experimental or scientific work. Record Keeping and Data Collection:....","Research Scientist, Experimental Radiation Oncology",64500.0
32940,    MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year","S/he will be proficient in in vivo experimentation, including standard methods of tumor implantation and dosing, proper handling of small molecule drugs or...",Institute Associate Scientist II - In Vivo Pharmacology,64750.0
32943,"    Earl Carl Institute for Legal & Social Policy, Inc...","Houston, TX","$20,000 - $25,000 a year","Gathering data, using either existing information or generating new data through research. After identifying solutions, the social policy analyst examines the...",Part Time Academic Research and Writing Policy Analyst Posit...,22500.0
32947,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year","Assist PI in scientific manuscript writing, defending and preparing scientific presentations; To enhance educational programs for next generation scientists;...",Research Scientist - Molecular & Cellular Oncology,64500.0
32975,    MD Anderson Cancer Center,"Houston, TX","$95,000 - $142,000 a year",The CCCT is a ground-breaking translational research team that partners with world-class drug discovery scientists at the Institute for Applied Cancer Science...,Institute Research Scientist - Translational Biology,118500.0
32976,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year","N ext generation sequencing (NGS) data analysis. The salary range is min $ 66,400 mid $ 83,000 max $ 99,600....","Research Programmer - Genetics, next generation sequencing (...",83000.0
32988,    MD Anderson Cancer Center,"Houston, TX","$76,400 - $114,600 a year","Systems Analyst – DMI Applications position is to provide software solutions, primarily in the Microsoft .NET environment, for clinical trial, data management...","Sr Systems Analyst, Quantitative Research Computing - C #, A...",95500.0
32990,    Oscar Technology,"Houston, TX","$200,000 - $300,000 a year",They are a leading investment data analysis firm who focus on innovation scientific ways to create solid portfolio's for its clients....,Head of Engineering - Accounting Platform,250000.0
33007,    MD Anderson Cancer Center,"Houston, TX","$125,000 - $187,000 a year",The CCCT is a ground-breaking translational research team that partners with world-class drug discovery scientists at the Institute for Applied Cancer Science...,"Principal Institute Research Scientist - Drug Discovery, Bio...",156000.0
37402,"    Kennedy Unlimited Inc, Professional Staffing","Des Moines, IA","$130,000 - $140,000 a year",4 plus years of current projects involving predictive analytics and hands-on machine learning techniques. Use your current research and analysis skills to apply...,Predictive Analytics (Machine Learning),135000.0
37415,    Palmer Group,"Des Moines, IA","$100,000 - $110,000 a year",Collaborate regularly with data scientists and analysts in a team setting as well as 3rd party data providers....,Data Engineer Manager,105000.0
